"date","book","game","prop_type","bet_level_1","bet_level_2","bet_level_3","bet_location","bet_status","prob_model","line_model","prob_book","line_book","edge","kelly","units","run_timestamp_utc","timestamp_id","play","result","units_bet","units_net"
2023-10-25,"FanDuel","ATL @ CHA","FPTS Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.1806,454,0.1667,500,0.0139,0.0083,0.8331,2023-10-25 20:46:03,1,"Saddiq Bey","Loss",0.8331,-0.8331
2023-10-25,"FanDuel","ATL @ CHA","FPTS Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.2018,396,0.1923,420,0.0095,0.0059,0.5874,2023-10-25 20:46:03,1,"Terry Rozier","Loss",0.5874,-0.5874
2023-10-25,"PointsBet","ATL @ CHA","FTTS","First Points","Team","Quarter","Home/Away","Favorite/Underdog",0.5002,-100,0.4762,110,0.024,0.0229,1.1475,2023-10-25 20:46:03,1,"1Q_ATL","Win",1.1475,1.26225
2023-10-25,"FanDuel","BOS @ NYK","FPTS","First Points","Player","Game","Home/Away","Favorite/Underdog",0.0728,1273,0.0714,1300,0.0014,8e-04,0.0759,2023-10-25 23:11:45,1,"Derrick White","Loss",0.0759,-0.0759
2023-10-25,"MGM","BOS @ NYK","FPTS","First FGM","Player","Game","Home/Away","Favorite/Underdog",0.1397,616,0.125,700,0.0147,0.0084,0.8413,2023-10-25 20:46:03,1,"Kristaps Porzingis","Loss",0.8413,-0.8413
2023-10-25,"MGM","BOS @ NYK","FPTS","First FGM","Player","Game","Home/Away","Favorite/Underdog",0.14,614,0.125,700,0.015,0.0086,0.8598,2023-10-25 21:50:34,2,"Kristaps Porzingis","Loss",0.0185,-0.0185
2023-10-25,"MGM","BOS @ NYK","FPTS","First FGM","Player","Game","Home/Away","Favorite/Underdog",0.0723,1283,0.0667,1400,0.0057,0.003,0.3032,2023-10-25 20:46:03,1,"Mitchell Robinson","Loss",0.3032,-0.3032
2023-10-25,"FanDuel","BOS @ NYK","FPTS Exact","First Points","Player","Exact","Home/Away","Favorite/Underdog",0.0045,21936,0.004,25000,6e-04,3e-04,0.0278,2023-10-25 20:46:03,1,"Derrick White_dunk","Loss",0.0278,-0.0278
2023-10-25,"FanDuel","BOS @ NYK","FPTS Exact","First Points","Player","Exact","Home/Away","Favorite/Underdog",0.0046,21867,0.004,25000,6e-04,3e-04,0.0285,2023-10-25 21:50:34,2,"Derrick White_dunk","Loss",0.000700000000000003,-0.000700000000000003
2023-10-25,"FanDuel","BOS @ NYK","FPTS Exact","First Points","Player","Exact","Home/Away","Favorite/Underdog",0.0249,3917,0.0141,7000,0.0108,0.0055,0.5484,2023-10-25 20:46:03,1,"Kristaps Porzingis_layup","Loss",0.5484,-0.5484
2023-10-25,"FanDuel","BOS @ NYK","FPTS Exact","First Points","Player","Exact","Home/Away","Favorite/Underdog",0.025,3904,0.0141,7000,0.0109,0.0055,0.5523,2023-10-25 21:50:34,2,"Kristaps Porzingis_layup","Loss",0.00390000000000001,-0.00390000000000001
2023-10-25,"FanDuel","BOS @ NYK","FPTS Exact","First Points","Player","Exact","Home/Away","Favorite/Underdog",0.006,16679,0.005,20000,0.001,5e-04,0.0495,2023-10-25 20:46:03,1,"Mitchell Robinson_other_fg","Loss",0.0495,-0.0495
2023-10-25,"FanDuel","BOS @ NYK","FPTS Exact","First Points","Player","Exact","Home/Away","Favorite/Underdog",0.0073,13547,0.004,25000,0.0033,0.0017,0.1679,2023-10-25 20:46:03,1,"Quentin Grimes_other_fg","Loss",0.1679,-0.1679
2023-10-25,"FanDuel","BOS @ NYK","FPTS Exact","First Points","Player","Exact","Home/Away","Favorite/Underdog",0.0268,3631,0.0233,4200,0.0035,0.0018,0.1816,2023-10-25 20:46:03,1,"RJ Barrett_three_point","Loss",0.1816,-0.1816
2023-10-25,"FanDuel","BOS @ NYK","FPTS Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.1337,648,0.1176,750,0.0161,0.0091,0.911,2023-10-25 23:11:45,1,"Derrick White","Loss",0.911,-0.911
2023-10-25,"PointsBet","BOS @ NYK","FTTS","First Points","Team","Quarter","Home/Away","Favorite/Underdog",0.5447,-120,0.5349,-114.9954,0.0098,0.0106,0.5282,2023-10-25 23:11:45,1,"1Q_BOS","Win",0.5282,0.459322720734916
2023-10-25,"FanDuel","CLE @ BKN","FPTS","First Points","Player","Game","Home/Away","Favorite/Underdog",0.1087,820,0.0769,1200,0.0318,0.0172,1.72,2023-10-25 20:46:03,1,"Ben Simmons","Loss",1.72,-1.72
2023-10-25,"FanDuel","CLE @ BKN","FPTS","First Points","Player","Game","Home/Away","Favorite/Underdog",0.109,817,0.0769,1200,0.0321,0.0174,1.7387,2023-10-25 23:11:45,3,"Ben Simmons","Loss",0.0186999999999999,-0.0186999999999999
2023-10-25,"FanDuel","CLE @ BKN","FPTS","First Points","Player","Game","Home/Away","Favorite/Underdog",0.0981,919,0.0952,950,0.0029,0.0016,0.1584,2023-10-25 23:11:45,1,"Darius Garland","Loss",0.1584,-0.1584
2023-10-25,"FanDuel","CLE @ BKN","FPTS Exact","First Points","Player","Exact","Home/Away","Favorite/Underdog",0.009,10974,0.0071,14000,0.0019,0.001,0.0976,2023-10-25 20:46:03,1,"Ben Simmons_free_throw","Loss",0.0976,-0.0976
