"game_id","date","sport","bet_type","away","home","away_line","home_line"
"20210515_nba_Phoenix_San Antonio",20210515,"nba","spread","Phoenix","San Antonio",-10.5,10.5
"20210515_nba_Miami_Milwaukee",20210515,"nba","spread","Miami","Milwaukee",5,-5
"20210516_nba_Indiana_Toronto",20210516,"nba","spread","Indiana","Toronto",-5.5,5.5
"20210516_nba_Boston_New York",20210516,"nba","spread","Boston","New York",12,-12
"20210516_nba_Charlotte_Washington",20210516,"nba","spread","Charlotte","Washington",6.5,-6.5
"20210516_nba_Phoenix_San Antonio",20210516,"nba","spread","Phoenix","San Antonio",-2,2
"20210516_nba_Memphis_Golden State",20210516,"nba","spread","Memphis","Golden State",3.5,-3.5
"20210516_nba_Orlando_Philadelphia",20210516,"nba","spread","Orlando","Philadelphia",6.5,-6.5
"20210516_nba_Cleveland_Brooklyn",20210516,"nba","spread","Cleveland","Brooklyn",13,-13
"20210516_nba_Houston_Atlanta",20210516,"nba","spread","Houston","Atlanta",7.5,-7.5
"20210516_nba_Miami_Detroit",20210516,"nba","spread","Miami","Detroit",-3.5,3.5
"20210516_nba_Denver_Portland",20210516,"nba","spread","Denver","Portland",8.5,-8.5
"20210516_nba_L.A. Lakers_New Orleans",20210516,"nba","spread","L.A. Lakers","New Orleans",-9.5,9.5
"20210516_nba_Milwaukee_Chicago",20210516,"nba","spread","Milwaukee","Chicago",-7.5,7.5
"20210516_nba_L.A. Clippers_Oklahoma City",20210516,"nba","spread","L.A. Clippers","Oklahoma City",-8,8
"20210516_nba_Utah_Sacramento",20210516,"nba","spread","Utah","Sacramento",-11.5,11.5
"20210516_nba_Dallas_Minnesota",20210516,"nba","spread","Dallas","Minnesota",-7,7
"20210518_nba_Charlotte_Indiana",20210518,"nba","spread","Charlotte","Indiana",1,-1
"20210518_nba_Washington_Boston",20210518,"nba","spread","Washington","Boston",1.5,-1.5
"20210519_nba_San Antonio_Memphis",20210519,"nba","spread","San Antonio","Memphis",4,-4
"20210519_nba_Golden State_L.A. Lakers",20210519,"nba","spread","Golden State","L.A. Lakers",6,-6
"20210520_nba_Indiana_Washington",20210520,"nba","spread","Indiana","Washington",4.5,-4.5
"20210521_nba_Memphis_Golden State",20210521,"nba","spread","Memphis","Golden State",4.5,-4.5
"20210522_nba_Miami_Milwaukee",20210522,"nba","spread","Miami","Milwaukee",5.5,-5.5
"20210522_nba_Dallas_L.A. Clippers",20210522,"nba","spread","Dallas","L.A. Clippers",4.5,-4.5
"20210522_nba_Boston_Brooklyn",20210522,"nba","spread","Boston","Brooklyn",8,-8
"20210522_nba_Portland_Denver",20210522,"nba","spread","Portland","Denver",1,-1
"20210523_nba_Washington_Philadelphia",20210523,"nba","spread","Washington","Philadelphia",8,-8
"20210523_nba_L.A. Lakers_Phoenix",20210523,"nba","spread","L.A. Lakers","Phoenix",2.5,-2.5
"20210523_nba_Atlanta_New York",20210523,"nba","spread","Atlanta","New York",-2.5,2.5
"20210523_nba_Memphis_Utah",20210523,"nba","spread","Memphis","Utah",8,-8
"20210524_nba_Miami_Milwaukee",20210524,"nba","spread","Miami","Milwaukee",5,-5
"20210524_nba_Portland_Denver",20210524,"nba","spread","Portland","Denver",2,-2
"20210525_nba_Boston_Brooklyn",20210525,"nba","spread","Boston","Brooklyn",8.5,-8.5
"20210525_nba_L.A. Lakers_Phoenix",20210525,"nba","spread","L.A. Lakers","Phoenix",-2,2
"20210525_nba_Dallas_L.A. Clippers",20210525,"nba","spread","Dallas","L.A. Clippers",7,-7
"20210526_nba_Washington_Philadelphia",20210526,"nba","spread","Washington","Philadelphia",8.5,-8.5
"20210526_nba_Atlanta_New York",20210526,"nba","spread","Atlanta","New York",1.5,-1.5
"20210526_nba_Memphis_Utah",20210526,"nba","spread","Memphis","Utah",10,-10
"20210527_nba_Milwaukee_Miami",20210527,"nba","spread","Milwaukee","Miami",-1.5,1.5
"20210527_nba_Phoenix_L.A. Lakers",20210527,"nba","spread","Phoenix","L.A. Lakers",6,-6
"20210527_nba_Denver_Portland",20210527,"nba","spread","Denver","Portland",4,-4
"20210528_nba_New York_Atlanta",20210528,"nba","spread","New York","Atlanta",4.5,-4.5
"20210528_nba_Brooklyn_Boston",20210528,"nba","spread","Brooklyn","Boston",-7,7
"20210528_nba_L.A. Clippers_Dallas",20210528,"nba","spread","L.A. Clippers","Dallas",-2.5,2.5
"20210529_nba_Milwaukee_Miami",20210529,"nba","spread","Milwaukee","Miami",-4.5,4.5
"20210529_nba_Denver_Portland",20210529,"nba","spread","Denver","Portland",4.5,-4.5
