"season","season_type","game_date","game_id","matchup","opening_jump","center_court","period","period_clock","home_team_jumper","home_team_person_id","home_team_abbrev","away_team_jumper","away_team_person_id","away_team_abbrev","possession","score_first","score_first_2Q","score_first_3Q","score_first_4Q","home_won_tip","home_score_first","home_score_first_2Q","home_score_first_3Q","home_score_first_4Q","location","win_tip_prob","win_tip_prob_opp","win_tip_prob_xtip","win_tip_prob_xtip_opp"
"2016-17","Pre Season",2016-10-16,"11600075","DEN @ POR",TRUE,TRUE,1,720,"Mason Plumlee","203486","POR","Jusuf Nurkic","203994","DEN","POR","POR","DEN","DEN","POR",TRUE,TRUE,FALSE,FALSE,TRUE,"Home",0.487118790575833,0.512881209424167,0.485513636531251,0.514486363468749
"2016-17","Pre Season",2016-10-17,"11600076","CHI vs. CHA",TRUE,TRUE,1,720,"Robin Lopez","201577","CHI","Roy Hibbert","201579","CHA","CHI","CHA","CHI","CHI","CHI",TRUE,FALSE,TRUE,TRUE,TRUE,"Home",0.552891135489854,0.447108864510145,0.553166230623558,0.446833769376442
"2016-17","Pre Season",2016-10-17,"11600077","LAC @ UTA",TRUE,TRUE,1,720,"Rudy Gobert","203497","UTA","Marreese Speights","201578","LAC","UTA","UTA","UTA","LAC","LAC",TRUE,TRUE,TRUE,FALSE,FALSE,"Home",0.573097989067829,0.426902010932171,0.570904072437089,0.429095927562911
"2016-17","Pre Season",2016-10-17,"11600078","BKN @ BOS",TRUE,TRUE,1,720,"Amir Johnson","101161","BOS","Brook Lopez","201572","BKN","BKN","BKN","BOS","BOS","BKN",FALSE,FALSE,TRUE,TRUE,FALSE,"Home",0.395803245873547,0.604196754126453,0.367512818033016,0.632487181966984
"2016-17","Pre Season",2016-10-17,"11600079","MIL @ DET",TRUE,TRUE,1,720,"Andre Drummond","203083","DET","Miles Plumlee","203101","MIL","MIL","MIL","DET","MIL","MIL",FALSE,FALSE,TRUE,FALSE,FALSE,"Home",0.696327616882373,0.303672383117628,0.726492535587403,0.273507464412597
"2016-17","Pre Season",2016-10-18,"11600080","CLE vs. WAS",TRUE,TRUE,1,720,"Tristan Thompson","202684","CLE","Marcin Gortat","101162","WAS","WAS","WAS","CLE","CLE","WAS",FALSE,FALSE,TRUE,TRUE,FALSE,"Home",0.438668887052846,0.561331112947154,0.406300621976204,0.593699378023796
"2016-17","Pre Season",2016-10-18,"11600081","OKC vs. DEN",TRUE,TRUE,1,720,"Steven Adams","203500","OKC","Jusuf Nurkic","203994","DEN","OKC","DEN","OKC","DEN","DEN",TRUE,FALSE,TRUE,FALSE,FALSE,"Home",0.574658407348229,0.425341592651771,0.608287973851102,0.391712026148898
"2016-17","Pre Season",2016-10-18,"11600082","LAC @ SAC",TRUE,TRUE,1,720,"Kosta Koufos","201585","SAC","DeAndre Jordan","201599","LAC","SAC","SAC","LAC","SAC","SAC",TRUE,TRUE,FALSE,TRUE,TRUE,"Home",0.449097890530709,0.55090210946929,0.434574188857931,0.565425811142069
"2016-17","Pre Season",2016-10-18,"11600083","ATL vs. NOP",TRUE,TRUE,1,720,"Dwight Howard","2730","ATL","Omer Asik","201600","NOP","ATL","ATL","NOP","ATL","NOP",TRUE,TRUE,FALSE,TRUE,FALSE,"Home",0.700252711383597,0.299747288616403,0.735510616020595,0.264489383979405
"2016-17","Pre Season",2016-10-18,"11600084","MIA vs. ORL",TRUE,TRUE,1,720,"Willie Reed","203186","MIA","Nikola Vucevic","202696","ORL","ORL","ORL","MIA","MIA","MIA",FALSE,FALSE,TRUE,TRUE,TRUE,"Home",0.437621248324948,0.562378751675052,0.439193678714635,0.560806321285365
"2016-17","Pre Season",2016-10-19,"11600085","MIL vs. IND",TRUE,TRUE,1,720,"Miles Plumlee","203101","MIL","Myles Turner","1626167","IND","IND","IND","MIL","IND","MIL",FALSE,FALSE,TRUE,FALSE,TRUE,"Home",0.384900855866668,0.615099144133332,0.365300289357938,0.634699710642062
