"season","season_type","game_date","game_id","matchup","opening_jump","center_court","period","period_clock","home_team_jumper","home_team_person_id","home_team_abbrev","away_team_jumper","away_team_person_id","away_team_abbrev","possession","score_first","score_first_2Q","score_first_3Q","score_first_4Q","home_won_tip","home_score_first","home_score_first_2Q","home_score_first_3Q","home_score_first_4Q","location","final_win_prob_all"
"2013-14","Pre Season",2013-10-19,"11300074","WAS @ NOP",TRUE,TRUE,1,720,"Anthony Davis","203076","NOP","Nene","2403","WAS","NOP","NOP","WAS","WAS","NOP",TRUE,TRUE,FALSE,FALSE,TRUE,"Home",0.424828670804978
"2013-14","Pre Season",2013-10-19,"11300075","DAL @ CHA",TRUE,TRUE,1,720,"Bismack Biyombo","202687","CHA","Samuel Dalembert","2223","DAL","CHA","DAL","DAL","CHA","CHA",TRUE,FALSE,FALSE,TRUE,TRUE,"Home",0.375889060152935
"2013-14","Pre Season",2013-10-19,"11300076","SAS @ MIA",TRUE,TRUE,1,720,"Chris Bosh","2547","MIA","Tim Duncan","1495","SAS","SAS","MIA","MIA","MIA","SAS",FALSE,TRUE,TRUE,TRUE,FALSE,"Home",0.537093233057043
"2013-14","Pre Season",2013-10-19,"11300077","IND @ CLE",TRUE,TRUE,1,720,"Tristan Thompson","202684","CLE","Roy Hibbert","201579","IND","IND","IND","CLE","CLE","IND",FALSE,FALSE,TRUE,TRUE,FALSE,"Home",0.509573540157177
"2013-14","Pre Season",2013-10-19,"11300078","LAC vs. DEN",TRUE,TRUE,1,720,"DeAndre Jordan","201599","LAC","JaVale McGee","201580","DEN","DEN","DEN","DEN","DEN","DEN",FALSE,FALSE,FALSE,FALSE,FALSE,"Home",0.534273981468372
"2013-14","Pre Season",2013-10-20,"11300079","ATL vs. MEM",TRUE,TRUE,1,720,"Al Horford","201143","ATL","Marc Gasol","201188","MEM","ATL","ATL","ATL","ATL","MEM",TRUE,TRUE,TRUE,TRUE,FALSE,"Home",0.322216587117988
"2013-14","Pre Season",2013-10-20,"11300080","DET @ ORL",TRUE,TRUE,1,720,"Solomon Jones","200780","ORL","Andre Drummond","203083","DET","DET","ORL","ORL","ORL","DET",FALSE,TRUE,TRUE,TRUE,FALSE,"Home",0.29536196618678
"2013-14","Pre Season",2013-10-20,"11300081","BOS @ MIN",TRUE,TRUE,1,720,"Nikola Pekovic","201593","MIN","Jared Sullinger","203096","BOS","MIN","MIN","MIN","BOS","MIN",TRUE,TRUE,TRUE,FALSE,TRUE,"Home",0.608243652204241
"2013-14","Pre Season",2013-10-20,"11300082","OKC vs. UTA",TRUE,TRUE,1,720,"Steven Adams","203500","OKC","Derrick Favors","202324","UTA","UTA","OKC","OKC","UTA","UTA",FALSE,TRUE,TRUE,FALSE,FALSE,"Home",0.62024580414505
"2013-14","Pre Season",2013-10-20,"11300083","POR vs. SAC",TRUE,TRUE,1,720,"Robin Lopez","201577","POR","Jason Thompson","201574","SAC","POR","POR","POR","SAC","POR",TRUE,TRUE,TRUE,FALSE,TRUE,"Home",0.495064520156626
"2013-14","Pre Season",2013-10-21,"11300084","NYK @ TOR",TRUE,TRUE,1,720,"Jonas Valanciunas","202685","TOR","Tyson Chandler","2199","NYK","NYK","TOR","TOR","NYK","NYK",FALSE,TRUE,TRUE,FALSE,FALSE,"Home",0.434587618082645
"2013-14","Pre Season",2013-10-21,"11300085","CLE vs. PHI",TRUE,TRUE,1,720,"Tristan Thompson","202684","CLE","Spencer Hawes","201150","PHI","PHI","PHI","PHI","CLE","CLE",FALSE,FALSE,FALSE,TRUE,TRUE,"Home",0.399277350262541
"2013-14","Pre Season",2013-10-21,"11300086","CHI vs. MIL",TRUE,TRUE,1,720,"Taj Gibson","201959","CHI","Larry Sanders","202336","MIL","MIL","CHI","CHI","CHI","MIL",FALSE,TRUE,TRUE,TRUE,FALSE,"Home",0.437561905005957
"2013-14","Pre Season",2013-10-21,"11300087","DAL @ HOU",TRUE,TRUE,1,720,"Dwight Howard","2730","HOU","Samuel Dalembert","2223","DAL","DAL","HOU","HOU","HOU","HOU",FALSE,TRUE,TRUE,TRUE,TRUE,"Home",0.536857998461847
"2013-14","Pre Season",2013-10-22,"11300088","OKC @ PHX",TRUE,TRUE,1,720,"Marcin Gortat","101162","PHX","Serge Ibaka","201586","OKC","OKC","PHX","OKC","PHX","PHX",FALSE,TRUE,FALSE,TRUE,TRUE,"Home",0.527093629352118
"2013-14","Pre Season",2013-10-22,"11300089","ATL vs. IND",TRUE,TRUE,1,720,"Al Horford","201143","ATL","Roy Hibbert","201579","IND","IND","IND","ATL","ATL","IND",FALSE,FALSE,TRUE,TRUE,FALSE,"Home",0.398567254472923
"2013-14","Pre Season",2013-10-22,"11300090","DET vs. WAS",TRUE,TRUE,1,720,"Andre Drummond","203083","DET","Nene","2403","WAS","DET","DET","DET","WAS","WAS",TRUE,TRUE,TRUE,FALSE,FALSE,"Home",0.511241884410734
"2013-14","Pre Season",2013-10-22,"11300091","SAS vs. ORL",TRUE,TRUE,1,720,"Tim Duncan","1495","SAS","Kyle O'Quinn","203124","ORL","ORL","SAS","SAS","SAS","ORL",FALSE,TRUE,TRUE,TRUE,FALSE,"Home",0.648460647112063
"2013-14","Pre Season",2013-10-22,"11300092","LAL vs. UTA",TRUE,TRUE,1,720,"Pau Gasol","2200","LAL","Enes Kanter","202683","UTA","LAL","UTA","LAL","UTA","UTA",TRUE,FALSE,TRUE,FALSE,FALSE,"Home",0.617487480303898
"2013-14","Pre Season",2013-10-23,"11300093","MEM @ TOR",TRUE,TRUE,1,720,"Jonas Valanciunas","202685","TOR","Marc Gasol","201188","MEM","TOR","TOR","MEM","TOR","MEM",TRUE,TRUE,FALSE,TRUE,FALSE,"Home",0.496786742316491
"2013-14","Pre Season",2013-10-23,"11300094","BKN @ BOS",TRUE,TRUE,1,720,"Vitor Faverani","203543","BOS","Mason Plumlee","203486","BKN","BKN","BKN","BOS","BOS","BOS",FALSE,FALSE,TRUE,TRUE,TRUE,"Home",0.47756814558863
"2013-14","Pre Season",2013-10-23,"11300095","MIN @ PHI",TRUE,TRUE,1,720,"Spencer Hawes","201150","PHI","Nikola Pekovic","201593","MIN","MIN","PHI","MIN","PHI","MIN",FALSE,TRUE,FALSE,TRUE,FALSE,"Home",0.519753829716648
"2013-14","Pre Season",2013-10-23,"11300096","WAS @ CLE",TRUE,TRUE,1,720,"Tristan Thompson","202684","CLE","Nene","2403","WAS","WAS","CLE","CLE","CLE","WAS",FALSE,TRUE,TRUE,TRUE,FALSE,"Home",0.359434916329189
"2013-14","Pre Season",2013-10-23,"11300097","NYK @ MIL",TRUE,TRUE,1,720,"Larry Sanders","202336","MIL","Tyson Chandler","2199","NYK","NYK","NYK","NYK","MIL","NYK",FALSE,FALSE,FALSE,TRUE,FALSE,"Home",0.362464459574834
"2013-14","Pre Season",2013-10-23,"11300098","MIA @ NOP",TRUE,TRUE,1,720,"Anthony Davis","203076","NOP","Chris Bosh","2547","MIA","MIA","NOP","NOP","NOP","MIA",FALSE,TRUE,TRUE,TRUE,FALSE,"Home",0.376935058676633
"2013-14","Pre Season",2013-10-23,"11300099","DEN vs. PHX",TRUE,TRUE,1,720,"JaVale McGee","201580","DEN","Marcin Gortat","101162","PHX","PHX","DEN","DEN","DEN","PHX",FALSE,TRUE,TRUE,TRUE,FALSE,"Home",0.659924101818456
"2013-14","Pre Season",2013-10-23,"11300100","GSW @ SAC",TRUE,TRUE,1,720,"DeMarcus Cousins","202326","SAC","Andrew Bogut","101106","GSW","GSW","GSW","SAC","GSW","GSW",FALSE,FALSE,TRUE,FALSE,FALSE,"Home",0.376479907658497
"2013-14","Pre Season",2013-10-23,"11300101","DAL vs. ATL",TRUE,TRUE,1,720,"Samuel Dalembert","2223","DAL","Elton Brand","1882","ATL","DAL","DAL","ATL","ATL","DAL",TRUE,TRUE,FALSE,FALSE,TRUE,"Home",0.586758426212583
"2013-14","Pre Season",2013-10-23,"11300102","LAC vs. UTA",TRUE,TRUE,1,720,"DeAndre Jordan","201599","LAC","Derrick Favors","202324","UTA","LAC","LAC","UTA","UTA","LAC",TRUE,TRUE,FALSE,FALSE,TRUE,"Home",0.631877910865645
"2013-14","Pre Season",2013-10-23,"11300103","OKC vs. CHI",TRUE,TRUE,1,720,"Kendrick Perkins","2570","OKC","Nazr Mohammed","1737","CHI","CHI","CHI","OKC","OKC","OKC",FALSE,FALSE,TRUE,TRUE,TRUE,"Home",0.50584063678256
