"tidyplayer","tidyamericanodds","prop","tidyawayteam","tidyhometeam","tidygamedatetime","site","sport","timestamp","tidyou","tidyexact_shot","tidyshot_points","game"
"Donovan Mitchell",460,"first player to score","CLE","GSW",2023-11-11 21:30:00,"fanduel","nba",2023-11-11 12:26:03,NA,NA,NA,"CLE @ GSW"
"Darius Garland",650,"first player to score","CLE","GSW",2023-11-11 21:30:00,"fanduel","nba",2023-11-11 12:26:03,NA,NA,NA,"CLE @ GSW"
"Stephen Curry",700,"first player to score","CLE","GSW",2023-11-11 21:30:00,"fanduel","nba",2023-11-11 12:26:03,NA,NA,NA,"CLE @ GSW"
"Klay Thompson",700,"first player to score","CLE","GSW",2023-11-11 21:30:00,"fanduel","nba",2023-11-11 12:26:03,NA,NA,NA,"CLE @ GSW"
"Jarrett Allen",750,"first player to score","CLE","GSW",2023-11-11 21:30:00,"fanduel","nba",2023-11-11 12:26:03,NA,NA,NA,"CLE @ GSW"
"Andrew Wiggins",800,"first player to score","CLE","GSW",2023-11-11 21:30:00,"fanduel","nba",2023-11-11 12:26:03,NA,NA,NA,"CLE @ GSW"
"Evan Mobley",850,"first player to score","CLE","GSW",2023-11-11 21:30:00,"fanduel","nba",2023-11-11 12:26:03,NA,NA,NA,"CLE @ GSW"
"Draymond Green",950,"first player to score","CLE","GSW",2023-11-11 21:30:00,"fanduel","nba",2023-11-11 12:26:03,NA,NA,NA,"CLE @ GSW"
"Kevon Looney",1000,"first player to score","CLE","GSW",2023-11-11 21:30:00,"fanduel","nba",2023-11-11 12:26:03,NA,NA,NA,"CLE @ GSW"
"Max Strus",1200,"first player to score","CLE","GSW",2023-11-11 21:30:00,"fanduel","nba",2023-11-11 12:26:03,NA,NA,NA,"CLE @ GSW"
"Brook Lopez",700,"first player to score","MIL","ORL",2023-11-11 19:00:00,"mgm","nba",2023-11-11 12:26:07,NA,NA,NA,"MIL @ ORL"
"Giannis Antetokounmpo",500,"first player to score","MIL","ORL",2023-11-11 19:00:00,"mgm","nba",2023-11-11 12:26:07,NA,NA,NA,"MIL @ ORL"
"Damian Lillard",650,"first player to score","MIL","ORL",2023-11-11 19:00:00,"mgm","nba",2023-11-11 12:26:07,NA,NA,NA,"MIL @ ORL"
"Malik Beasley",900,"first player to score","MIL","ORL",2023-11-11 19:00:00,"mgm","nba",2023-11-11 12:26:07,NA,NA,NA,"MIL @ ORL"
"Khris Middleton",675,"first player to score","MIL","ORL",2023-11-11 19:00:00,"mgm","nba",2023-11-11 12:26:07,NA,NA,NA,"MIL @ ORL"
"Markelle Fultz",775,"first player to score","MIL","ORL",2023-11-11 19:00:00,"mgm","nba",2023-11-11 12:26:07,NA,NA,NA,"MIL @ ORL"
"Goga Bitadze",1100,"first player to score","MIL","ORL",2023-11-11 19:00:00,"mgm","nba",2023-11-11 12:26:07,NA,NA,NA,"MIL @ ORL"
"Paolo Banchero",700,"first player to score","MIL","ORL",2023-11-11 19:00:00,"mgm","nba",2023-11-11 12:26:07,NA,NA,NA,"MIL @ ORL"
"Franz Wagner",625,"first player to score","MIL","ORL",2023-11-11 19:00:00,"mgm","nba",2023-11-11 12:26:07,NA,NA,NA,"MIL @ ORL"
"Jalen Suggs",1050,"first player to score","MIL","ORL",2023-11-11 19:00:00,"mgm","nba",2023-11-11 12:26:07,NA,NA,NA,"MIL @ ORL"
"Dennis Schroder",1150,"first player to score","TOR","BOS",2023-11-11 20:00:00,"mgm","nba",2023-11-11 12:26:07,NA,NA,NA,"TOR @ BOS"
"Pascal Siakam",675,"first player to score","TOR","BOS",2023-11-11 20:00:00,"mgm","nba",2023-11-11 12:26:07,NA,NA,NA,"TOR @ BOS"
"Scottie Barnes",700,"first player to score","TOR","BOS",2023-11-11 20:00:00,"mgm","nba",2023-11-11 12:26:07,NA,NA,NA,"TOR @ BOS"
"Jakob Poeltl",850,"first player to score","TOR","BOS",2023-11-11 20:00:00,"mgm","nba",2023-11-11 12:26:07,NA,NA,NA,"TOR @ BOS"
"OG Anunoby",850,"first player to score","TOR","BOS",2023-11-11 20:00:00,"mgm","nba",2023-11-11 12:26:07,NA,NA,NA,"TOR @ BOS"
"Kristaps Porzingis",550,"first player to score","TOR","BOS",2023-11-11 20:00:00,"mgm","nba",2023-11-11 12:26:07,NA,NA,NA,"TOR @ BOS"
"Jrue Holiday",750,"first player to score","TOR","BOS",2023-11-11 20:00:00,"mgm","nba",2023-11-11 12:26:07,NA,NA,NA,"TOR @ BOS"
"Jayson Tatum",650,"first player to score","TOR","BOS",2023-11-11 20:00:00,"mgm","nba",2023-11-11 12:26:07,NA,NA,NA,"TOR @ BOS"
"Jaylen Brown",500,"first player to score","TOR","BOS",2023-11-11 20:00:00,"mgm","nba",2023-11-11 12:26:07,NA,NA,NA,"TOR @ BOS"
"Derrick White",1050,"first player to score","TOR","BOS",2023-11-11 20:00:00,"mgm","nba",2023-11-11 12:26:07,NA,NA,NA,"TOR @ BOS"
