"prop","tidyplayer","tidyshot_points","tidyamericanodds","tidyawayteam","tidyhometeam","tidygamedatetime","site","sport","timestamp","game"
"first player to score exact shot","Jayson Tatum","dunk",5500,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:37,"TOR @ BOS"
"first player to score exact shot","Jayson Tatum","free_throw",3600,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:37,"TOR @ BOS"
"first player to score exact shot","Jayson Tatum","layup",1500,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:37,"TOR @ BOS"
"first player to score exact shot","Jayson Tatum","other_fg",2100,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:37,"TOR @ BOS"
"first player to score exact shot","Jayson Tatum","three_point",2500,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:37,"TOR @ BOS"
"first player to score exact shot","Jrue Holiday","dunk",23000,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:37,"TOR @ BOS"
"first player to score exact shot","Jrue Holiday","free_throw",10000,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:37,"TOR @ BOS"
"first player to score exact shot","Jrue Holiday","layup",1900,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:37,"TOR @ BOS"
"first player to score exact shot","Jrue Holiday","other_fg",2100,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:37,"TOR @ BOS"
"first player to score exact shot","Jrue Holiday","three_point",2200,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:37,"TOR @ BOS"
"first player to score exact shot","Kristaps Porzingis","dunk",4500,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:37,"TOR @ BOS"
"first player to score exact shot","Kristaps Porzingis","free_throw",4100,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:37,"TOR @ BOS"
"first player to score exact shot","Kristaps Porzingis","layup",6500,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:37,"TOR @ BOS"
"first player to score exact shot","Kristaps Porzingis","other_fg",1200,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:37,"TOR @ BOS"
